disciplina,serie,segmento,trimestre,semana_letiva,capitulo_esperado,conteudo_esperado,progressao_key
Matemática,6º Ano,Fund II,1,1,1,Capítulo 1,Matemática|6º Ano|1
Matemática,6º Ano,Fund II,1,2,1,Capítulo 1,Matemática|6º Ano|2
Matemática,6º Ano,Fund II,1,3,1,Capítulo 1,Matemática|6º Ano|3
Matemática,6º Ano,Fund II,1,4,2,Capítulo 2,Matemática|6º Ano|4
Matemática,6º Ano,Fund II,1,5,2,Capítulo 2,Matemática|6º Ano|5
Matemática,6º Ano,Fund II,1,6,2,Capítulo 2,Matemática|6º Ano|6
Matemática,6º Ano,Fund II,1,7,3,Capítulo 3,Matemática|6º Ano|7
Matemática,6º Ano,Fund II,1,8,3,Capítulo 3,Matemática|6º Ano|8
Matemática,6º Ano,Fund II,1,9,3,Capítulo 3,Matemática|6º Ano|9
Matemática,6º Ano,Fund II,1,10,4,Capítulo 4,Matemática|6º Ano|10
Matemática,6º Ano,Fund II,1,11,4,Capítulo 4,Matemática|6º Ano|11
Matemática,6º Ano,Fund II,1,12,4,Capítulo 4,Matemática|6º Ano|12
Matemática,6º Ano,Fund II,1,13,4,Capítulo 4,Matemática|6º Ano|13
Matemática,6º Ano,Fund II,1,14,4,Capítulo 4,Matemática|6º Ano|14
Matemática,6º Ano,Fund II,2,15,5,Capítulo 5,Matemática|6º Ano|15
Matemática,6º Ano,Fund II,2,16,5,Capítulo 5,Matemática|6º Ano|16
Matemática,6º Ano,Fund II,2,17,5,Capítulo 5,Matemática|6º Ano|17
Matemática,6º Ano,Fund II,2,18,6,Capítulo 6,Matemática|6º Ano|18
Matemática,6º Ano,Fund II,2,19,6,Capítulo 6,Matemática|6º Ano|19
Matemática,6º Ano,Fund II,2,20,6,Capítulo 6,Matemática|6º Ano|20
Matemática,6º Ano,Fund II,2,21,7,Capítulo 7,Matemática|6º Ano|21
Matemática,6º Ano,Fund II,2,22,7,Capítulo 7,Matemática|6º Ano|22
Matemática,6º Ano,Fund II,2,23,7,Capítulo 7,Matemática|6º Ano|23
Matemática,6º Ano,Fund II,2,24,8,Capítulo 8,Matemática|6º Ano|24
Matemática,6º Ano,Fund II,2,25,8,Capítulo 8,Matemática|6º Ano|25
Matemática,6º Ano,Fund II,2,26,8,Capítulo 8,Matemática|6º Ano|26
Matemática,6º Ano,Fund II,2,27,8,Capítulo 8,Matemática|6º Ano|27
Matemática,6º Ano,Fund II,2,28,8,Capítulo 8,Matemática|6º Ano|28
Matemática,6º Ano,Fund II,3,29,9,Capítulo 9,Matemática|6º Ano|29
Matemática,6º Ano,Fund II,3,30,9,Capítulo 9,Matemática|6º Ano|30
Matemática,6º Ano,Fund II,3,31,9,Capítulo 9,Matemática|6º Ano|31
Matemática,6º Ano,Fund II,3,32,10,Capítulo 10,Matemática|6º Ano|32
Matemática,6º Ano,Fund II,3,33,10,Capítulo 10,Matemática|6º Ano|33
Matemática,6º Ano,Fund II,3,34,10,Capítulo 10,Matemática|6º Ano|34
Matemática,6º Ano,Fund II,3,35,11,Capítulo 11,Matemática|6º Ano|35
Matemática,6º Ano,Fund II,3,36,11,Capítulo 11,Matemática|6º Ano|36
Matemática,6º Ano,Fund II,3,37,11,Capítulo 11,Matemática|6º Ano|37
Matemática,6º Ano,Fund II,3,38,12,Capítulo 12,Matemática|6º Ano|38
Matemática,6º Ano,Fund II,3,39,12,Capítulo 12,Matemática|6º Ano|39
Matemática,6º Ano,Fund II,3,40,12,Capítulo 12,Matemática|6º Ano|40
Matemática,6º Ano,Fund II,3,41,12,Capítulo 12,Matemática|6º Ano|41
Matemática,6º Ano,Fund II,3,42,12,Capítulo 12,Matemática|6º Ano|42
Matemática,7º Ano,Fund II,1,1,1,Capítulo 1,Matemática|7º Ano|1
Matemática,7º Ano,Fund II,1,2,1,Capítulo 1,Matemática|7º Ano|2
Matemática,7º Ano,Fund II,1,3,1,Capítulo 1,Matemática|7º Ano|3
Matemática,7º Ano,Fund II,1,4,2,Capítulo 2,Matemática|7º Ano|4
Matemática,7º Ano,Fund II,1,5,2,Capítulo 2,Matemática|7º Ano|5
Matemática,7º Ano,Fund II,1,6,2,Capítulo 2,Matemática|7º Ano|6
Matemática,7º Ano,Fund II,1,7,3,Capítulo 3,Matemática|7º Ano|7
Matemática,7º Ano,Fund II,1,8,3,Capítulo 3,Matemática|7º Ano|8
Matemática,7º Ano,Fund II,1,9,3,Capítulo 3,Matemática|7º Ano|9
Matemática,7º Ano,Fund II,1,10,4,Capítulo 4,Matemática|7º Ano|10
Matemática,7º Ano,Fund II,1,11,4,Capítulo 4,Matemática|7º Ano|11
Matemática,7º Ano,Fund II,1,12,4,Capítulo 4,Matemática|7º Ano|12
Matemática,7º Ano,Fund II,1,13,4,Capítulo 4,Matemática|7º Ano|13
Matemática,7º Ano,Fund II,1,14,4,Capítulo 4,Matemática|7º Ano|14
Matemática,7º Ano,Fund II,2,15,5,Capítulo 5,Matemática|7º Ano|15
Matemática,7º Ano,Fund II,2,16,5,Capítulo 5,Matemática|7º Ano|16
Matemática,7º Ano,Fund II,2,17,5,Capítulo 5,Matemática|7º Ano|17
Matemática,7º Ano,Fund II,2,18,6,Capítulo 6,Matemática|7º Ano|18
Matemática,7º Ano,Fund II,2,19,6,Capítulo 6,Matemática|7º Ano|19
Matemática,7º Ano,Fund II,2,20,6,Capítulo 6,Matemática|7º Ano|20
Matemática,7º Ano,Fund II,2,21,7,Capítulo 7,Matemática|7º Ano|21
Matemática,7º Ano,Fund II,2,22,7,Capítulo 7,Matemática|7º Ano|22
Matemática,7º Ano,Fund II,2,23,7,Capítulo 7,Matemática|7º Ano|23
Matemática,7º Ano,Fund II,2,24,8,Capítulo 8,Matemática|7º Ano|24
Matemática,7º Ano,Fund II,2,25,8,Capítulo 8,Matemática|7º Ano|25
Matemática,7º Ano,Fund II,2,26,8,Capítulo 8,Matemática|7º Ano|26
Matemática,7º Ano,Fund II,2,27,8,Capítulo 8,Matemática|7º Ano|27
Matemática,7º Ano,Fund II,2,28,8,Capítulo 8,Matemática|7º Ano|28
Matemática,7º Ano,Fund II,3,29,9,Capítulo 9,Matemática|7º Ano|29
Matemática,7º Ano,Fund II,3,30,9,Capítulo 9,Matemática|7º Ano|30
Matemática,7º Ano,Fund II,3,31,9,Capítulo 9,Matemática|7º Ano|31
Matemática,7º Ano,Fund II,3,32,10,Capítulo 10,Matemática|7º Ano|32
Matemática,7º Ano,Fund II,3,33,10,Capítulo 10,Matemática|7º Ano|33
Matemática,7º Ano,Fund II,3,34,10,Capítulo 10,Matemática|7º Ano|34
Matemática,7º Ano,Fund II,3,35,11,Capítulo 11,Matemática|7º Ano|35
Matemática,7º Ano,Fund II,3,36,11,Capítulo 11,Matemática|7º Ano|36
Matemática,7º Ano,Fund II,3,37,11,Capítulo 11,Matemática|7º Ano|37
Matemática,7º Ano,Fund II,3,38,12,Capítulo 12,Matemática|7º Ano|38
Matemática,7º Ano,Fund II,3,39,12,Capítulo 12,Matemática|7º Ano|39
Matemática,7º Ano,Fund II,3,40,12,Capítulo 12,Matemática|7º Ano|40
Matemática,7º Ano,Fund II,3,41,12,Capítulo 12,Matemática|7º Ano|41
Matemática,7º Ano,Fund II,3,42,12,Capítulo 12,Matemática|7º Ano|42
Matemática,8º Ano,Fund II,1,1,1,Capítulo 1,Matemática|8º Ano|1
Matemática,8º Ano,Fund II,1,2,1,Capítulo 1,Matemática|8º Ano|2
Matemática,8º Ano,Fund II,1,3,1,Capítulo 1,Matemática|8º Ano|3
Matemática,8º Ano,Fund II,1,4,2,Capítulo 2,Matemática|8º Ano|4
Matemática,8º Ano,Fund II,1,5,2,Capítulo 2,Matemática|8º Ano|5
Matemática,8º Ano,Fund II,1,6,2,Capítulo 2,Matemática|8º Ano|6
Matemática,8º Ano,Fund II,1,7,3,Capítulo 3,Matemática|8º Ano|7
Matemática,8º Ano,Fund II,1,8,3,Capítulo 3,Matemática|8º Ano|8
Matemática,8º Ano,Fund II,1,9,3,Capítulo 3,Matemática|8º Ano|9
Matemática,8º Ano,Fund II,1,10,4,Capítulo 4,Matemática|8º Ano|10
Matemática,8º Ano,Fund II,1,11,4,Capítulo 4,Matemática|8º Ano|11
Matemática,8º Ano,Fund II,1,12,4,Capítulo 4,Matemática|8º Ano|12
Matemática,8º Ano,Fund II,1,13,4,Capítulo 4,Matemática|8º Ano|13
Matemática,8º Ano,Fund II,1,14,4,Capítulo 4,Matemática|8º Ano|14
Matemática,8º Ano,Fund II,2,15,5,Capítulo 5,Matemática|8º Ano|15
Matemática,8º Ano,Fund II,2,16,5,Capítulo 5,Matemática|8º Ano|16
Matemática,8º Ano,Fund II,2,17,5,Capítulo 5,Matemática|8º Ano|17
Matemática,8º Ano,Fund II,2,18,6,Capítulo 6,Matemática|8º Ano|18
Matemática,8º Ano,Fund II,2,19,6,Capítulo 6,Matemática|8º Ano|19
Matemática,8º Ano,Fund II,2,20,6,Capítulo 6,Matemática|8º Ano|20
Matemática,8º Ano,Fund II,2,21,7,Capítulo 7,Matemática|8º Ano|21
Matemática,8º Ano,Fund II,2,22,7,Capítulo 7,Matemática|8º Ano|22
Matemática,8º Ano,Fund II,2,23,7,Capítulo 7,Matemática|8º Ano|23
Matemática,8º Ano,Fund II,2,24,8,Capítulo 8,Matemática|8º Ano|24
Matemática,8º Ano,Fund II,2,25,8,Capítulo 8,Matemática|8º Ano|25
Matemática,8º Ano,Fund II,2,26,8,Capítulo 8,Matemática|8º Ano|26
Matemática,8º Ano,Fund II,2,27,8,Capítulo 8,Matemática|8º Ano|27
Matemática,8º Ano,Fund II,2,28,8,Capítulo 8,Matemática|8º Ano|28
Matemática,8º Ano,Fund II,3,29,9,Capítulo 9,Matemática|8º Ano|29
Matemática,8º Ano,Fund II,3,30,9,Capítulo 9,Matemática|8º Ano|30
Matemática,8º Ano,Fund II,3,31,9,Capítulo 9,Matemática|8º Ano|31
Matemática,8º Ano,Fund II,3,32,10,Capítulo 10,Matemática|8º Ano|32
Matemática,8º Ano,Fund II,3,33,10,Capítulo 10,Matemática|8º Ano|33
Matemática,8º Ano,Fund II,3,34,10,Capítulo 10,Matemática|8º Ano|34
Matemática,8º Ano,Fund II,3,35,11,Capítulo 11,Matemática|8º Ano|35
Matemática,8º Ano,Fund II,3,36,11,Capítulo 11,Matemática|8º Ano|36
Matemática,8º Ano,Fund II,3,37,11,Capítulo 11,Matemática|8º Ano|37
Matemática,8º Ano,Fund II,3,38,12,Capítulo 12,Matemática|8º Ano|38
Matemática,8º Ano,Fund II,3,39,12,Capítulo 12,Matemática|8º Ano|39
Matemática,8º Ano,Fund II,3,40,12,Capítulo 12,Matemática|8º Ano|40
Matemática,8º Ano,Fund II,3,41,12,Capítulo 12,Matemática|8º Ano|41
Matemática,8º Ano,Fund II,3,42,12,Capítulo 12,Matemática|8º Ano|42
