movimentacao_id,colaborador_id,data,ano,mes,tipo,empresa,funcao,setor_rh,unidade_inferida
1,6,2026-01-27,2026,1,Admissão,ARF,Atendente de Cantina,Operacional,
2,5,2026-01-27,2026,1,Admissão,ARF,AUXILIAR DE COZINHA,Operacional,
3,2,2025-08-13,2025,8,Admissão,ARF,COZINHEIRO(A),Administrativo,
4,3,2025-09-02,2025,9,Admissão,ARF,AUXILIAR DE CANTINA,Operacional,
5,4,2025-09-10,2025,9,Admissão,ARF,AUXILIAR DE COZINHA,Operacional,
6,1,2025-08-01,2025,8,Admissão,ARF,AUXILIAR DE COZINHA,Operacional,
7,1,2025-09-14,2025,9,Desligamento,ARF,AUXILIAR DE COZINHA,Operacional,
8,8,2026-02-02,2026,2,Admissão,ARF,Atendente de Cantina,Operacional,
9,9,2026-02-02,2026,2,Admissão,ARF,AUXILIAR DE COZINHA,Operacional,
10,10,2026-02-23,2026,2,Admissão,ARF,AUXILIAR DE COZINHA,Operacional,
11,97,2022-07-04,2022,7,Admissão,CENTRO DE ENSINO,AUX DE DEPARTAMENTO PESSOAL,Administrativo,
12,97,2023-01-23,2023,1,Desligamento,CENTRO DE ENSINO,AUX DE DEPARTAMENTO PESSOAL,Administrativo,
13,171,2023-08-04,2023,8,Admissão,CENTRO DE ENSINO,PROFESSOR(A),Docente,
14,171,2023-12-20,2023,12,Desligamento,CENTRO DE ENSINO,PROFESSOR(A),Docente,
15,291,2026-02-04,2026,2,Admissão,CENTRO DE ENSINO,AUX. SERV. GERAIS,Operacional,
16,290,2026-02-03,2026,2,Admissão,CENTRO DE ENSINO,PORTEIRO,Operacional,
17,63,2022-02-01,2022,2,Admissão,CENTRO DE ENSINO,AUX DE MANUTENCAO,Operacional,
18,63,2023-06-22,2023,6,Desligamento,CENTRO DE ENSINO,AUX DE MANUTENCAO,Operacional,
19,66,2022-03-02,2022,3,Admissão,CENTRO DE ENSINO,AUX. SERV. GERAIS,Operacional,
20,66,2022-06-01,2022,6,Desligamento,CENTRO DE ENSINO,AUX. SERV. GERAIS,Operacional,
21,216,2024-09-13,2024,9,Admissão,CENTRO DE ENSINO,ESTAGIARIO,Estagiário,
22,216,2025-01-24,2025,1,Desligamento,CENTRO DE ENSINO,ESTAGIARIO,Estagiário,
23,239,2025-01-27,2025,1,Admissão,CENTRO DE ENSINO,APOIO PEDAGOGICO,Apoio Pedagógico,
24,239,2025-09-18,2025,9,Desligamento,CENTRO DE ENSINO,APOIO PEDAGOGICO,Apoio Pedagógico,
25,286,2026-01-26,2026,1,Admissão,CENTRO DE ENSINO,PSICOLOGO(A),Clínico,
26,220,2024-09-16,2024,9,Admissão,CENTRO DE ENSINO,AUX. DE COORDENACAO,Apoio Pedagógico,
27,220,2025-06-02,2025,6,Desligamento,CENTRO DE ENSINO,AUX. DE COORDENACAO,Apoio Pedagógico,
28,175,2023-09-01,2023,9,Admissão,CENTRO DE ENSINO,SOCIAL MEDIA,Administrativo,
29,175,2024-01-23,2024,1,Desligamento,CENTRO DE ENSINO,SOCIAL MEDIA,Administrativo,
30,65,2022-02-01,2022,2,Admissão,CENTRO DE ENSINO,PROFESSOR(A),Docente,
31,65,2024-08-07,2024,8,Desligamento,CENTRO DE ENSINO,PROFESSOR(A),Docente,
32,179,2023-10-03,2023,10,Admissão,CENTRO DE ENSINO,ASSISTENTE FINANCEIRO,Administrativo,
33,179,2023-11-27,2023,11,Desligamento,CENTRO DE ENSINO,ASSISTENTE FINANCEIRO,Administrativo,
34,154,2023-05-02,2023,5,Admissão,CENTRO DE ENSINO,COZINHEIRO(A),Administrativo,
35,154,2023-06-15,2023,6,Desligamento,CENTRO DE ENSINO,COZINHEIRO(A),Administrativo,
36,52,2021-11-01,2021,11,Admissão,CENTRO DE ENSINO,AUX. SERV. GERAIS,Operacional,
37,147,2023-03-03,2023,3,Admissão,CENTRO DE ENSINO,AUX. SERV. GERAIS,Operacional,
38,147,2023-03-12,2023,3,Desligamento,CENTRO DE ENSINO,AUX. SERV. GERAIS,Operacional,
39,11,2019-10-21,2019,10,Admissão,CENTRO DE ENSINO,AUX. SERV. GERAIS,Operacional,
40,11,2024-04-22,2024,4,Desligamento,CENTRO DE ENSINO,AUX. SERV. GERAIS,Operacional,
41,40,2020-08-03,2020,8,Admissão,CENTRO DE ENSINO,PROFESSOR(A),Docente,
42,40,2023-12-18,2023,12,Desligamento,CENTRO DE ENSINO,PROFESSOR(A),Docente,
43,114,2022-09-12,2022,9,Admissão,CENTRO DE ENSINO,PROFESSOR(A),Docente,
44,114,2022-10-05,2022,10,Desligamento,CENTRO DE ENSINO,PROFESSOR(A),Docente,
45,234,2025-01-24,2025,1,Admissão,CENTRO DE ENSINO,PROFESSOR(A)FUNDAMENTAL I,Docente,
46,234,2025-07-31,2025,7,Desligamento,CENTRO DE ENSINO,PROFESSOR(A)FUNDAMENTAL I,Docente,
47,47,2021-04-19,2021,4,Admissão,CENTRO DE ENSINO,PORTEIRO,Operacional,
48,274,2025-08-05,2025,8,Admissão,CENTRO DE ENSINO,PROFESSOR(A) AEE,Docente,
49,176,2023-09-12,2023,9,Admissão,CENTRO DE ENSINO,AUX. SERV. GERAIS,Operacional,
50,176,2023-10-23,2023,10,Desligamento,CENTRO DE ENSINO,AUX. SERV. GERAIS,Operacional,
51,208,2024-08-15,2024,8,Admissão,CENTRO DE ENSINO,APOIO PEDAGOGICO,Apoio Pedagógico,
52,208,2025-01-02,2025,1,Desligamento,CENTRO DE ENSINO,APOIO PEDAGOGICO,Apoio Pedagógico,
53,178,2023-10-02,2023,10,Admissão,CENTRO DE ENSINO,DESIGNER GRAFICO,Administrativo,
54,178,2024-02-08,2024,2,Desligamento,CENTRO DE ENSINO,DESIGNER GRAFICO,Administrativo,
55,156,2023-05-02,2023,5,Admissão,CENTRO DE ENSINO,COZINHEIRO(A),Administrativo,
56,156,2023-11-13,2023,11,Desligamento,CENTRO DE ENSINO,COZINHEIRO(A),Administrativo,
57,248,2025-02-03,2025,2,Admissão,CENTRO DE ENSINO,PROFESSOR(A)ANOS INICIAIS,Docente,
58,173,2023-08-11,2023,8,Admissão,CENTRO DE ENSINO,AUXILIAR DE MANUTENCAO,Operacional,
59,173,2023-11-10,2023,11,Desligamento,CENTRO DE ENSINO,AUXILIAR DE MANUTENCAO,Operacional,
60,206,2024-06-18,2024,6,Admissão,CENTRO DE ENSINO,PROFESSOR(A)ENSINO MEDIO,Docente,
61,206,2025-12-16,2025,12,Desligamento,CENTRO DE ENSINO,PROFESSOR(A)ENSINO MEDIO,Docente,
62,192,2024-02-01,2024,2,Admissão,CENTRO DE ENSINO,AUX DE MANUTENCAO,Operacional,
63,192,2024-12-13,2024,12,Desligamento,CENTRO DE ENSINO,AUX DE MANUTENCAO,Operacional,
64,117,2022-10-03,2022,10,Admissão,CENTRO DE ENSINO,PROFESSOR(A),Docente,
65,117,2022-12-22,2022,12,Desligamento,CENTRO DE ENSINO,PROFESSOR(A),Docente,
66,109,2022-08-01,2022,8,Admissão,CENTRO DE ENSINO,ESTAGIARIO,Estagiário,
67,109,2023-01-09,2023,1,Desligamento,CENTRO DE ENSINO,ESTAGIARIO,Estagiário,
68,264,2025-04-08,2025,4,Admissão,CENTRO DE ENSINO,PROFESSOR(A)DE INGLES,Docente,
69,264,2025-10-01,2025,10,Desligamento,CENTRO DE ENSINO,PROFESSOR(A)DE INGLES,Docente,
70,104,2022-08-01,2022,8,Admissão,CENTRO DE ENSINO,ESTAGIARIO,Estagiário,
71,104,2024-02-20,2024,2,Desligamento,CENTRO DE ENSINO,ESTAGIARIO,Estagiário,
72,121,2022-10-03,2022,10,Admissão,CENTRO DE ENSINO,AUX. ADMINISTRATIVO,Administrativo,
73,121,2022-12-01,2022,12,Desligamento,CENTRO DE ENSINO,AUX. ADMINISTRATIVO,Administrativo,
74,146,2023-02-16,2023,2,Admissão,CENTRO DE ENSINO,PROFESSOR(A),Docente,
75,146,2024-02-01,2024,2,Desligamento,CENTRO DE ENSINO,PROFESSOR(A),Docente,
76,224,2024-10-02,2024,10,Admissão,CENTRO DE ENSINO,ESTAGIARIO,Estagiário,
77,224,2025-03-24,2025,3,Desligamento,CENTRO DE ENSINO,ESTAGIARIO,Estagiário,
78,249,2025-02-05,2025,2,Admissão,CENTRO DE ENSINO,APOIO PEDAGOGICO,Apoio Pedagógico,
79,249,2025-09-18,2025,9,Desligamento,CENTRO DE ENSINO,APOIO PEDAGOGICO,Apoio Pedagógico,
80,202,2024-04-09,2024,4,Admissão,CENTRO DE ENSINO,AUX. SERV. GERAIS,Operacional,
81,202,2026-01-20,2026,1,Desligamento,CENTRO DE ENSINO,AUX. SERV. GERAIS,Operacional,
82,14,2020-01-08,2020,1,Admissão,CENTRO DE ENSINO,COORDENADOR(A)PEDAGOGICO,Apoio Pedagógico,
83,14,2023-01-20,2023,1,Desligamento,CENTRO DE ENSINO,COORDENADOR(A)PEDAGOGICO,Apoio Pedagógico,
84,73,2022-03-02,2022,3,Admissão,CENTRO DE ENSINO,AUX. ADMINISTRATIVO,Administrativo,
85,73,2025-01-02,2025,1,Desligamento,CENTRO DE ENSINO,AUX. ADMINISTRATIVO,Administrativo,
86,199,2024-03-04,2024,3,Admissão,CENTRO DE ENSINO,PROFESSOR(A)FUNDAMENTAL I,Docente,
87,199,2024-12-06,2024,12,Desligamento,CENTRO DE ENSINO,PROFESSOR(A)FUNDAMENTAL I,Docente,
88,283,2026-01-20,2026,1,Admissão,CENTRO DE ENSINO,AUX. DE SALA,Apoio Pedagógico,
89,257,2025-03-24,2025,3,Admissão,CENTRO DE ENSINO,AUX. DE SALA,Apoio Pedagógico,
90,257,2025-09-12,2025,9,Desligamento,CENTRO DE ENSINO,AUX. DE SALA,Apoio Pedagógico,
91,200,2024-04-01,2024,4,Admissão,CENTRO DE ENSINO,AUX. DE COORDENACAO,Apoio Pedagógico,
92,200,2024-06-27,2024,6,Desligamento,CENTRO DE ENSINO,AUX. DE COORDENACAO,Apoio Pedagógico,
93,110,2022-09-01,2022,9,Admissão,CENTRO DE ENSINO,ESTAGIARIO,Estagiário,
94,110,2023-01-09,2023,1,Desligamento,CENTRO DE ENSINO,ESTAGIARIO,Estagiário,
95,294,2026-02-09,2026,2,Admissão,CENTRO DE ENSINO,AUX. DE SALA,Apoio Pedagógico,
96,106,2022-08-01,2022,8,Admissão,CENTRO DE ENSINO,ESTAGIARIO,Estagiário,
97,106,2023-02-15,2023,2,Desligamento,CENTRO DE ENSINO,ESTAGIARIO,Estagiário,
98,37,2020-03-02,2020,3,Admissão,CENTRO DE ENSINO,PROFESSOR(A) NIVEL SUPERIOR EDUCACAO INF,Docente,
99,37,2024-01-22,2024,1,Desligamento,CENTRO DE ENSINO,PROFESSOR(A) NIVEL SUPERIOR EDUCACAO INF,Docente,
100,293,2026-02-06,2026,2,Admissão,CENTRO DE ENSINO,AUX. DE SALA,Apoio Pedagógico,
101,246,2025-02-03,2025,2,Admissão,CENTRO DE ENSINO,AUX. SERV. GERAIS,Operacional,
102,74,2022-03-02,2022,3,Admissão,CENTRO DE ENSINO,AUX. ADMINISTRATIVO,Administrativo,
103,74,2022-04-15,2022,4,Desligamento,CENTRO DE ENSINO,AUX. ADMINISTRATIVO,Administrativo,
104,272,2025-07-30,2025,7,Admissão,CENTRO DE ENSINO,PROFESSOR(A) FUNDAMENTAL I,Docente,
105,215,2024-09-12,2024,9,Admissão,CENTRO DE ENSINO,ESTAGIARIO,Estagiário,
106,215,2025-03-24,2025,3,Desligamento,CENTRO DE ENSINO,ESTAGIARIO,Estagiário,
107,238,2025-01-27,2025,1,Admissão,CENTRO DE ENSINO,PROFESSOR(A) DE EDUCACAO FISICA - ENSINO,Docente,
108,92,2022-05-09,2022,5,Admissão,CENTRO DE ENSINO,ANALISTA FINANCEIRO,Administrativo,
109,92,2024-02-21,2024,2,Desligamento,CENTRO DE ENSINO,ANALISTA FINANCEIRO,Administrativo,
110,99,2022-08-01,2022,8,Admissão,CENTRO DE ENSINO,ESTAGIARIO,Estagiário,
111,99,2024-02-20,2024,2,Desligamento,CENTRO DE ENSINO,ESTAGIARIO,Estagiário,
112,113,2022-09-12,2022,9,Admissão,CENTRO DE ENSINO,AUX. SERV. GERAIS,Operacional,
113,113,2023-01-23,2023,1,Desligamento,CENTRO DE ENSINO,AUX. SERV. GERAIS,Operacional,
114,127,2022-11-01,2022,11,Admissão,CENTRO DE ENSINO,ESTAGIARIO,Estagiário,
115,127,2023-02-15,2023,2,Desligamento,CENTRO DE ENSINO,ESTAGIARIO,Estagiário,
