ano_mes,empresa,setor_rh,headcount
2025-08,ARF,Administrativo,1
2025-09,ARF,Administrativo,1
2025-10,ARF,Administrativo,1
2025-11,ARF,Administrativo,1
2025-12,ARF,Administrativo,1
2026-01,ARF,Administrativo,1
2026-02,ARF,Administrativo,1
2025-08,ARF,Operacional,1
2025-09,ARF,Operacional,2
2025-10,ARF,Operacional,2
2025-11,ARF,Operacional,2
2025-12,ARF,Operacional,2
2026-01,ARF,Operacional,4
2026-02,ARF,Operacional,7
2021-06,CENTRO DE ENSINO,Administrativo,1
2021-07,CENTRO DE ENSINO,Administrativo,1
2021-08,CENTRO DE ENSINO,Administrativo,1
2021-09,CENTRO DE ENSINO,Administrativo,1
2021-10,CENTRO DE ENSINO,Administrativo,1
2021-11,CENTRO DE ENSINO,Administrativo,2
2021-12,CENTRO DE ENSINO,Administrativo,1
2022-01,CENTRO DE ENSINO,Administrativo,2
2022-02,CENTRO DE ENSINO,Administrativo,3
2022-03,CENTRO DE ENSINO,Administrativo,11
2022-04,CENTRO DE ENSINO,Administrativo,11
2022-05,CENTRO DE ENSINO,Administrativo,13
2022-06,CENTRO DE ENSINO,Administrativo,14
2022-07,CENTRO DE ENSINO,Administrativo,15
2022-08,CENTRO DE ENSINO,Administrativo,15
2022-09,CENTRO DE ENSINO,Administrativo,15
2022-10,CENTRO DE ENSINO,Administrativo,18
2022-11,CENTRO DE ENSINO,Administrativo,18
2022-12,CENTRO DE ENSINO,Administrativo,18
2023-01,CENTRO DE ENSINO,Administrativo,19
2023-02,CENTRO DE ENSINO,Administrativo,18
2023-03,CENTRO DE ENSINO,Administrativo,17
2023-04,CENTRO DE ENSINO,Administrativo,17
2023-05,CENTRO DE ENSINO,Administrativo,20
2023-06,CENTRO DE ENSINO,Administrativo,18
2023-07,CENTRO DE ENSINO,Administrativo,18
2023-08,CENTRO DE ENSINO,Administrativo,17
2023-09,CENTRO DE ENSINO,Administrativo,18
2023-10,CENTRO DE ENSINO,Administrativo,21
2023-11,CENTRO DE ENSINO,Administrativo,20
2023-12,CENTRO DE ENSINO,Administrativo,20
2024-01,CENTRO DE ENSINO,Administrativo,18
2024-02,CENTRO DE ENSINO,Administrativo,14
2024-03,CENTRO DE ENSINO,Administrativo,13
2024-04,CENTRO DE ENSINO,Administrativo,13
2024-05,CENTRO DE ENSINO,Administrativo,11
2024-06,CENTRO DE ENSINO,Administrativo,10
2024-07,CENTRO DE ENSINO,Administrativo,10
2024-08,CENTRO DE ENSINO,Administrativo,8
2024-09,CENTRO DE ENSINO,Administrativo,9
2024-10,CENTRO DE ENSINO,Administrativo,9
2024-11,CENTRO DE ENSINO,Administrativo,10
2024-12,CENTRO DE ENSINO,Administrativo,9
2025-01,CENTRO DE ENSINO,Administrativo,9
2025-02,CENTRO DE ENSINO,Administrativo,9
2025-03,CENTRO DE ENSINO,Administrativo,8
2025-04,CENTRO DE ENSINO,Administrativo,8
2025-05,CENTRO DE ENSINO,Administrativo,7
2025-06,CENTRO DE ENSINO,Administrativo,7
2025-07,CENTRO DE ENSINO,Administrativo,7
2025-08,CENTRO DE ENSINO,Administrativo,7
2025-09,CENTRO DE ENSINO,Administrativo,7
2025-10,CENTRO DE ENSINO,Administrativo,8
2025-11,CENTRO DE ENSINO,Administrativo,8
2025-12,CENTRO DE ENSINO,Administrativo,8
2026-01,CENTRO DE ENSINO,Administrativo,8
2026-02,CENTRO DE ENSINO,Administrativo,8
2020-01,CENTRO DE ENSINO,Apoio Pedagógico,1
2020-02,CENTRO DE ENSINO,Apoio Pedagógico,2
2020-03,CENTRO DE ENSINO,Apoio Pedagógico,2
2020-04,CENTRO DE ENSINO,Apoio Pedagógico,2
2020-05,CENTRO DE ENSINO,Apoio Pedagógico,2
2020-06,CENTRO DE ENSINO,Apoio Pedagógico,2
2020-07,CENTRO DE ENSINO,Apoio Pedagógico,2
2020-08,CENTRO DE ENSINO,Apoio Pedagógico,2
2020-09,CENTRO DE ENSINO,Apoio Pedagógico,2
2020-10,CENTRO DE ENSINO,Apoio Pedagógico,2
2020-11,CENTRO DE ENSINO,Apoio Pedagógico,2
2020-12,CENTRO DE ENSINO,Apoio Pedagógico,2
2021-01,CENTRO DE ENSINO,Apoio Pedagógico,2
2021-02,CENTRO DE ENSINO,Apoio Pedagógico,2
2021-03,CENTRO DE ENSINO,Apoio Pedagógico,2
2021-04,CENTRO DE ENSINO,Apoio Pedagógico,2
2021-05,CENTRO DE ENSINO,Apoio Pedagógico,2
2021-06,CENTRO DE ENSINO,Apoio Pedagógico,2
2021-07,CENTRO DE ENSINO,Apoio Pedagógico,2
2021-08,CENTRO DE ENSINO,Apoio Pedagógico,2
2021-09,CENTRO DE ENSINO,Apoio Pedagógico,2
2021-10,CENTRO DE ENSINO,Apoio Pedagógico,2
2021-11,CENTRO DE ENSINO,Apoio Pedagógico,3
2021-12,CENTRO DE ENSINO,Apoio Pedagógico,3
2022-01,CENTRO DE ENSINO,Apoio Pedagógico,3
2022-02,CENTRO DE ENSINO,Apoio Pedagógico,4
2022-03,CENTRO DE ENSINO,Apoio Pedagógico,7
2022-04,CENTRO DE ENSINO,Apoio Pedagógico,6
2022-05,CENTRO DE ENSINO,Apoio Pedagógico,9
2022-06,CENTRO DE ENSINO,Apoio Pedagógico,9
2022-07,CENTRO DE ENSINO,Apoio Pedagógico,9
2022-08,CENTRO DE ENSINO,Apoio Pedagógico,9
2022-09,CENTRO DE ENSINO,Apoio Pedagógico,9
2022-10,CENTRO DE ENSINO,Apoio Pedagógico,9
2022-11,CENTRO DE ENSINO,Apoio Pedagógico,9
2022-12,CENTRO DE ENSINO,Apoio Pedagógico,8
2023-01,CENTRO DE ENSINO,Apoio Pedagógico,6
2023-02,CENTRO DE ENSINO,Apoio Pedagógico,10
2023-03,CENTRO DE ENSINO,Apoio Pedagógico,9
2023-04,CENTRO DE ENSINO,Apoio Pedagógico,10
2023-05,CENTRO DE ENSINO,Apoio Pedagógico,11
2023-06,CENTRO DE ENSINO,Apoio Pedagógico,11
2023-07,CENTRO DE ENSINO,Apoio Pedagógico,11
2023-08,CENTRO DE ENSINO,Apoio Pedagógico,10
2023-09,CENTRO DE ENSINO,Apoio Pedagógico,10
2023-10,CENTRO DE ENSINO,Apoio Pedagógico,10
2023-11,CENTRO DE ENSINO,Apoio Pedagógico,10
2023-12,CENTRO DE ENSINO,Apoio Pedagógico,10
2024-01,CENTRO DE ENSINO,Apoio Pedagógico,7
2024-02,CENTRO DE ENSINO,Apoio Pedagógico,5
2024-03,CENTRO DE ENSINO,Apoio Pedagógico,5
2024-04,CENTRO DE ENSINO,Apoio Pedagógico,7
2024-05,CENTRO DE ENSINO,Apoio Pedagógico,7
2024-06,CENTRO DE ENSINO,Apoio Pedagógico,7
2024-07,CENTRO DE ENSINO,Apoio Pedagógico,7
2024-08,CENTRO DE ENSINO,Apoio Pedagógico,8
2024-09,CENTRO DE ENSINO,Apoio Pedagógico,9
2024-10,CENTRO DE ENSINO,Apoio Pedagógico,9
2024-11,CENTRO DE ENSINO,Apoio Pedagógico,10
2024-12,CENTRO DE ENSINO,Apoio Pedagógico,8
2025-01,CENTRO DE ENSINO,Apoio Pedagógico,11
2025-02,CENTRO DE ENSINO,Apoio Pedagógico,16
2025-03,CENTRO DE ENSINO,Apoio Pedagógico,19
2025-04,CENTRO DE ENSINO,Apoio Pedagógico,20
2025-05,CENTRO DE ENSINO,Apoio Pedagógico,20
2025-06,CENTRO DE ENSINO,Apoio Pedagógico,20
2025-07,CENTRO DE ENSINO,Apoio Pedagógico,22
2025-08,CENTRO DE ENSINO,Apoio Pedagógico,26
2025-09,CENTRO DE ENSINO,Apoio Pedagógico,20
2025-10,CENTRO DE ENSINO,Apoio Pedagógico,20
2025-11,CENTRO DE ENSINO,Apoio Pedagógico,18
2025-12,CENTRO DE ENSINO,Apoio Pedagógico,17
2026-01,CENTRO DE ENSINO,Apoio Pedagógico,18
2026-02,CENTRO DE ENSINO,Apoio Pedagógico,21
2021-08,CENTRO DE ENSINO,Clínico,1
2021-09,CENTRO DE ENSINO,Clínico,1
2021-10,CENTRO DE ENSINO,Clínico,1
2021-11,CENTRO DE ENSINO,Clínico,1
2021-12,CENTRO DE ENSINO,Clínico,1
2022-01,CENTRO DE ENSINO,Clínico,1
2022-02,CENTRO DE ENSINO,Clínico,1
2022-03,CENTRO DE ENSINO,Clínico,1
2022-04,CENTRO DE ENSINO,Clínico,1
2022-05,CENTRO DE ENSINO,Clínico,1
2022-06,CENTRO DE ENSINO,Clínico,1
2022-07,CENTRO DE ENSINO,Clínico,1
2022-08,CENTRO DE ENSINO,Clínico,1
2022-09,CENTRO DE ENSINO,Clínico,1
2022-10,CENTRO DE ENSINO,Clínico,1
2022-11,CENTRO DE ENSINO,Clínico,1
2022-12,CENTRO DE ENSINO,Clínico,1
2023-01,CENTRO DE ENSINO,Clínico,1
2023-04,CENTRO DE ENSINO,Clínico,1
2023-08,CENTRO DE ENSINO,Clínico,1
2023-09,CENTRO DE ENSINO,Clínico,1
2023-10,CENTRO DE ENSINO,Clínico,1
